configuration,accuracy,f1_score,fpr,fnr
Full System,0.9718077513729864,0.974221153989363,0.01775184403587955,0.011878184713735399
Without Formal Verification,0.9234549623273589,0.9302679776391549,0.024176514307921455,0.07921082321396367
Without GNN,0.8936765404467901,0.90662054659506,0.032424913929407065,0.10339987793679879
Without Transformer,0.8702138606630251,0.880968820125213,0.03895497142932459,0.12810624952022373
Without Adversarial Training,0.9099825391409646,0.9177383903664321,0.02292766439975872,0.08978422266015053
